section,ID,section_area,object_area,rel_height,object_distance
1,0,4.76,47600,34.4,0
2,1,4.79,390.91,2.1,26.82
2,2,4.79,469.21,3.3,29.59
2,3,4.79,49.07,1.7,34.49
2,4,4.79,453.73,1.6,26.49
2,5,4.79,372.74,3,27.89
2,6,4.79,509.98,3.2,30.67
2,7,4.79,557.2,2.2,33.63
2,8,4.79,501.65,2.8,28.07
2,9,4.79,480.7,2.9,27.05
2,10,4.79,414.95,3.4,23.13
2,11,4.79,420.66,2.8,26.7
2,12,4.79,392.27,1.1,31.57
2,13,4.79,502.98,2.6,30.98
2,14,4.79,560.84,2.6,37.56
2,15,4.79,488.25,3.4,25.76
2,16,4.79,567.39,3.8,34
2,17,4.79,472.39,3.4,35.27
2,18,4.79,438.51,3.1,31.4
2,19,4.79,274.63,1.9,25.76
2,20,4.79,393.32,2.2,27.53
2,21,4.79,512.96,2.8,18.44
2,22,4.79,430.56,3,24.76
3,23,3.56,314.6,1.7,15.5
3,24,3.56,368.71,1.9,21.24
3,25,3.56,385.13,1.6,11.13
3,26,3.56,317.12,1.5,24.97
3,27,3.56,293.49,1.7,8.22
3,28,3.56,321.01,1.9,36.14
3,29,3.56,278.86,0.9,0.5
3,30,3.56,331.23,1.3,18.23
3,31,3.56,345.44,1.2,0
3,32,3.56,350.51,1.4,25.31
3,33,3.56,246.31,1.6,4.57
3,34,3.56,249.53,1.3,2.61
3,35,3.56,236.58,2.3,24.61
3,36,3.56,354.47,1.9,4.31
3,37,3.56,304.94,1.2,16.17
3,38,3.56,271.16,1,24.75
3,39,3.56,165.74,0.3,15.94
3,40,3.56,137.66,1.5,37.34
3,41,3.56,324.79,1.2,8.36
3,42,3.56,270.57,1.4,5.95
3,43,3.56,224.12,2,15.75
3,44,3.56,198.01,1.3,0.5
3,45,3.56,296.99,1.7,18.43
3,46,3.56,295.63,1.2,0.5
3,47,3.56,314.01,1.1,17.5
3,48,3.56,326.96,1.5,0.5
3,49,3.56,305.54,1.2,13.06
3,50,3.56,283.59,1.9,0
3,51,3.56,267.66,2.4,17.83
3,52,3.56,413.73,2,2.92
3,53,3.56,437.39,1.8,16.98
3,54,3.56,391.75,2.2,18.92
4,55,2.91,106.93,0.9,8.07
4,56,2.91,348.24,1.1,14.03
4,57,2.91,662.24,0.9,0
4,58,2.91,593.5,1.5,6.81
4,59,2.91,314.04,2.1,8.81
4,60,2.91,255.06,0.8,12.63
4,61,2.91,726.23,1.2,2.5
4,62,2.91,493.85,1.6,9.51
4,63,2.91,530.25,1,3.6
4,64,2.91,618.95,2,7.83
4,65,2.91,616.64,1,1.84
4,66,2.91,247.76,1.6,2.39
4,67,2.91,265.25,1.1,2.13
4,68,2.91,232.63,1.5,1.39
4,69,2.91,466.58,1.3,2.52
4,70,2.91,755.45,1.5,6.55
4,71,2.91,676.77,1.4,3.46
4,72,2.91,266.44,2.1,2.41
4,73,2.91,378.83,2,10.66
4,74,2.91,137.8,1.2,8.15
4,75,2.91,477.89,0.9,4.04
4,76,2.91,418.84,1.5,15.16
4,77,2.91,460.28,0.8,0
4,78,2.91,603.79,1,14.75
4,79,2.91,549.54,1.8,4.05
4,80,2.91,283.48,1.2,0
4,81,2.91,251.7,1.2,2.72
4,82,2.91,254.26,1.1,1.51
4,83,2.91,515.76,1,3.92
4,84,2.91,636.41,1.9,10.96
4,85,2.91,409.21,1.3,12.08
4,86,2.91,350.79,0.9,5.89
5,87,1.08,169.52,0.3,0
5,88,1.08,291.88,0.2,0
5,89,1.08,233.15,0.6,0
5,90,1.08,276.52,0.5,0
5,91,1.08,330.67,1.5,0
5,92,1.08,201.68,1.6,0
5,93,1.08,174.49,0.8,0
5,94,1.08,160,0.1,0
5,95,1.08,148.37,0.5,0
5,96,1.08,127.48,0.9,0
5,97,1.08,79.14,0.5,0
5,98,1.08,146.94,0.4,0
5,99,1.08,143.68,1.3,0
6,100,1.19,102.8,0.5,0
6,101,1.19,126.6,0,0
6,102,1.19,99.5,0.7,0
6,103,1.19,165.4,1,0
6,104,1.19,85.8,0.8,0
6,105,1.19,86.7,1,0
6,106,1.19,66,0.8,0
6,107,1.19,66.3,1,0
6,108,1.19,65.8,1,0
6,109,1.19,68.9,1.1,0
6,110,1.19,34,0,0
6,111,1.19,72,1,0
6,112,1.19,94.9,0.5,0
6,113,1.19,62.2,0.8,0
6,114,1.19,71.2,1.1,0
6,115,1.19,93.9,0.8,4.5
6,116,1.19,115.1,1,8.9
6,117,1.19,107.3,0.5,6.9
6,118,1.19,82.8,0.6,4.5
6,119,1.19,86,1.2,8.6
7,120,0.37,108.8,0.4,55
7,121,0.37,141.2,1.1,23.4
7,122,0.37,226.8,0.7,14.7
7,123,0.37,256.4,0.4,9.8
7,124,0.37,144.9,0.2,2.2
7,125,0.37,125.4,0.1,0
7,126,0.37,100.7,0.3,0
7,127,0.37,162.6,0.1,19.7
7,128,0.37,142.8,2,0
7,129,0.37,255.9,0.2,0
8,130,1.7,119.4,0.4,0
8,131,1.7,135.5,0.3,0
8,132,1.7,46,0.1,0
8,133,1.7,234,1.6,10.2
8,134,1.7,119.1,0.1,6.7
8,135,1.7,110.2,0.1,3.4
8,136,1.7,68.9,1.1,0
8,137,1.7,62.5,0.3,3.9
8,138,1.7,79.2,0.4,54
8,139,1.7,67,0.4,82
8,140,1.7,126.2,0.3,3.8
8,141,1.7,239.7,0.3,8.3
8,142,1.7,202.2,0.2,5.3
8,143,1.7,98.2,0.1,0
8,144,1.7,90.6,1.1,0
8,145,1.7,82.6,1.1,12.8
8,146,1.7,153.7,0.9,3.5
8,147,1.7,112.1,0.6,5.4
8,148,1.7,178.4,1.3,0
8,149,1.7,138.6,0.2,10.2
